name,mz,rt,Size_3_3,Size_3_1,Size_3_2,Size_5_1,Size_1_2,Size_4_2,Size_2_2,Size_2_3,Size_6_2,Size_1_3,Size_4_1,Size_2_1,Size_1_1,Size_6_1,Size_5_2
M813T174_NEG,813.391056,174.0347748,11392871.07,14721743.54,5326687.975,1179452.434,9273998.406,22935766.5,2965209.152,2877187.981,2281960.547,3580789.716,17761009.39,8724142.366,4494838.548,4291500.781,1938268.538
M814T174_NEG,814.3953092,174.0282079,4314477.761,6053812.051,2296981.171,1636412.239,4335193.45,10625397.17,1115867.746,935940.7362,772678.8894,1328234.176,6956478.029,3913166.764,2118447.994,1900821.51,533066.8031
M815T66_NEG,815.4981595,66.22151184,30685330.1,4170812.333,2179083.162,3207756.14,39184767.2,2255954.125,967138.9806,1901894.948,7947885.581,2991865.097,1977814.851,1732789.899,2411647.879,5031787.529,5363856.628
M817T118_NEG,816.5763168,117.9868622,5037123.122,7650134.49,5070877.36,9126769.224,3451109.183,3744009.517,4478950.919,8292736.961,13682399.27,4499713.387,3201685.351,8002172.236,3161772.948,2179176.298,4016060.737
M817T514_1_NEG,816.7510377,513.8961182,2983084.937,3976203.603,3604509.274,4070109.042,2929037.904,3176413.775,3615432.504,4986669.525,3690374.22,2863967.921,1930274.075,4139580.792,3920649.748,3743058.895,4616865.86
M817T514_2_NEG,817.2536408,513.9641724,2513245.547,2799068.528,2635469.585,2393199.201,2112875.891,2341252.721,2691516.567,3267213.863,2070132.78,2064370.609,1534076.627,2374776.665,2593957.223,2759706.106,3945580.675
M818T66_NEG,817.514218,66.22151184,17584826.07,7932290.871,4188175.454,8152674.019,15591516.57,6665819.039,3917012.242,5205835.019,6219042.675,9438898.13,6679990.566,7335688.719,4346307.747,4251949.22,4758376.842
M818T118_NEG,817.5796115,118.0319977,1970975.347,3256448.868,1812895.283,4531926.288,1984926.366,1904120.246,2506829.63,4609265.973,7193620.107,2436763.403,1729040.574,4230235.333,1408662.732,1256901.423,2116776.591
M818T514_1_NEG,817.7518943,513.9283447,1954401.074,2475599.749,1889797.812,2462920.453,1484696.274,2050570.568,2465230.795,3159206.044,2416534.762,2156020.611,1561400.452,2375478.216,2789816.939,2392209.904,2349420.544
M818T531_NEG,818.262416,530.9931335,241908032.3,241021842.5,229085607.1,299234973.6,198707937.2,174870929.5,250375269.8,286115817.1,207947887.3,199088009.4,176728311,208914583.3,217605882.1,227610282.8,363558999.9
M819T66_NEG,818.5173374,66.15654755,7172908.125,2632135.516,1747040.268,3358535.314,5886821.049,2446896.805,1461421.927,2313723.272,3007133.077,4294103.291,3847923.085,3619495.515,1983874.092,2627302.811,3462231.225
M819T531_1_NEG,818.7633796,530.9931335,164436575.4,161558282.3,155355742.8,207862940,137533136.4,122475767.6,167903993.6,194452369.2,136767343.9,128673449.6,116992024.3,137179150.4,142788654.6,151927413.1,238219718.4
M819T531_2_NEG,819.2642508,531.013916,77259054.76,77052417.61,73364702.56,102591453,67010262.42,58424718.52,79752371.84,91701177.67,62783817.33,62879591.39,55963131.91,66112303.93,68121851.27,73451633.9,117179786.3
M820T531_1_NEG,819.7666748,531.0015869,26930677.7,26282874.09,24498333.77,33744671.05,21983792.79,18160912.8,25608441.15,30405853.62,22640331.84,21756619.67,19596790.84,22775604.98,24210231.24,25344055.26,40567130.89
