peak_group_id,peak_name,mz,rt,isotope,adduct,base_peak,neutral_mass,num_peaks
[108],M863T477_NEG,863.2434,477.4,[M],[M+Cl]-,M827T478_NEG,828.2739,11
[108],M864T478_NEG,864.2482,477.6,[M+1],[M+Cl]-,M827T478_NEG,828.2739,11
[108],M865T478_NEG,865.2433,477.6,[M+2],[M+Cl]-,M827T478_NEG,828.2739,11
[108],M866T478_NEG,866.2457,477.6,[M+3],[M+Cl]-,M827T478_NEG,828.2739,11
[108],M887T477_NEG,887.2892,476.8,[M],[M+CH3COO]-,M827T478_NEG,828.2739,11
[108],M888T477_NEG,888.2928,476.9,[M+1],[M+CH3COO]-,M827T478_NEG,828.2739,11
[108],M889T477_NEG,889.2932,477.2,[M+2],[M+CH3COO]-,M827T478_NEG,828.2739,11
[109],M989T492_NEG,989.3188,492.3,[M],[M-H]-,M989T492_NEG,990.3261,8
[109],M990T492_NEG,990.3221,492.5,[M+1],[M-H]-,M989T492_NEG,990.3261,8
[109],M991T493_NEG,991.3261,492.5,[M+2],[M-H]-,M989T492_NEG,990.3261,8
[109],M992T493_NEG,992.3275,492.6,[M+3],[M-H]-,M989T492_NEG,990.3261,8
[109],M1025T492_NEG,1025.2969,491.9,[M],[M+Cl]-,M989T492_NEG,990.3261,8
[109],M1026T492_NEG,1026.2994,491.8,[M+1],[M+Cl]-,M989T492_NEG,990.3261,8
[109],M1027T492_NEG,1027.2971,491.9,[M+2],[M+Cl]-,M989T492_NEG,990.3261,8
[109],M1028T492_NEG,1028.2988,491.9,[M+3],[M+Cl]-,M989T492_NEG,990.3261,8
