"","Sample2_1","Sample3_1","Sample4_1","DI_1","Sample2_2","Sample3_2","Sample5_2","Sample7_2","DI_2","Sample2_4","Sample3_3","Sample4_3","Sample4_4","Sample5_3","Sample9_3","DI_3"
"M375T410_POS",6.55840712700647,6.6106347196863,6.69255830737257,6.6923182600423,6.43949136611487,6.57869430988556,6.52978427652263,6.55979338193301,6.37717051274211,6.69763391207391,6.5738210333245,6.52489993452188,6.58709533922483,6.62486328638825,6.58031411656436,6.74717378779124
"M375T912_POS",7.21421692199682,7.24625094169386,7.14661586769832,7.33784500426666,7.28341651456912,7.36616399818579,7.22858721087653,7.37386381760581,7.3175079540029,7.22559801222526,7.29257399020914,7.29464741214502,7.2001415914547,7.32473580053932,7.29676731926474,7.37891150919912
"M375T836_POS",5.98773067680442,6.00099361806632,5.89166363134196,6.01043627140048,6.00151656883836,6.17887574874906,5.91305123031074,6.12161367720735,5.9651821115775,6.02129777891211,5.95035574133743,5.99598564489066,6.10329855834349,6.00724896721345,5.97031182560204,6.07546351243376
"M375T820_POS",6.14751111228148,6.15443835076733,6.14365258592619,6.2395933222928,6.15718570879565,6.25795674099665,6.26933078827472,6.24319916276153,6.19930338195726,6.30546874221308,6.14360308413434,6.26218345623497,6.26969634490832,6.28258827733308,6.20806263105387,6.32820169045852
"M375T808_POS",6.08441047180854,5.90574846287756,6.26021306096291,6.21608618358301,6.05660621671004,6.19175271570247,6.0040025213201,6.22344598998565,6.29252987958943,6.51335286334107,6.19362832998596,6.32729691552626,6.07831790092163,6.24104997524163,6.13023816182536,6.2017182640295
"M375T760_POS",7.54383814710358,7.74004921981754,7.73563499792886,7.719552134353,7.55814571789764,7.61325156127212,7.60176110613253,7.47100322498067,7.40818032615204,7.67195400892143,7.6444074433202,7.52301696268542,7.6882661457722,7.50793494498932,7.72346728444037,7.75228343851323
"M376T448_POS",5.75612279746216,6.29806688564895,6.6369308526991,6.75063787524361,5.8020536731612,6.22646565108326,6.49312815868315,6.47050927413094,6.50012069268656,6.3348784040284,6.05674393567438,5.86363245012062,6.29089506855264,6.48391243854756,6.54584726351538,6.86029703474731
"M376T111_POS",6.30452130589562,5.890439595467,5.94066345426468,5.81934433810089,6.252320603922,6.15249633525273,6.07244018656578,5.63370286759519,6.47750526015211,6.24530367504014,6.02395852623179,5.93410600859357,6.33924386813776,6.11528055630527,6.14422001285079,5.81244737369324
"M376T698_POS",6.51444968779778,6.30806263070827,6.35191305854626,6.41209962457775,6.53155759843386,6.42577116877359,6.19985484346029,6.31376794898525,6.20348171574782,6.22645432713855,6.20813523102218,6.23933100029324,6.18504539745724,6.51075675520511,6.21696265109155,6.47709677594158
"M376T913_POS",6.59243128642532,6.55270261235747,6.44789003217256,6.66829404326123,6.58070415658408,6.65874493694351,6.53355994409656,6.68966547761682,6.61256919208754,6.51573105847488,6.61302275318283,6.60976218464642,6.50588457799366,6.64088763306041,6.63476604920593,6.69155033061549
"M376T820_POS",7.01924488401745,7.02714435835724,7.04932723275237,6.97535400883019,7.00275412453499,7.11992179157595,6.95798334212314,7.0588153724541,6.96247659295634,7.04253025796858,6.91648409556583,7.02546953120292,7.08447970959092,7.03531382290934,6.99978998050735,6.99968049021393
"M376T714_POS",5.73918259705528,5.86393552074218,5.75991204020432,6.32751051116337,5.73895161391713,6.02958831487245,5.83920207675826,6.08078988005973,6.63376328616089,5.9852553439592,5.82240506348759,6.47095664076935,5.99665924366264,6.1246580573259,6.2952963270848,6.49311260433917
"M376T798_POS",6.40088727154017,6.30142127375229,6.53268697593873,6.68874241327387,6.44409749592981,6.46253562117537,6.5379577988359,6.47888400626177,6.78596348260022,6.75881612888778,6.35364701425953,6.62309528526933,6.45195845982628,6.56594725539113,6.74964150325207,6.63066782431244
"M376T850_POS",6.55037967336273,6.56389535927809,6.7730604138309,6.50781659101658,6.60055248715109,6.67389521663065,6.65175678262028,6.68688382833519,6.73885346107666,6.99083329110952,6.59008070072437,6.68928879925437,6.65361853751669,6.50182218558253,6.69789555683581,6.57720765009985
"M376T760_POS",6.6367491479444,6.81812441878628,6.82557924056451,6.81318188828002,6.62502955027356,6.70458863460601,6.70145389205546,6.53099625292862,6.46348856449871,6.73045856046322,6.70937193067317,6.58067983906543,6.75857829409558,6.54727024403331,6.78983240580648,6.78936905052383
"M377T402_POS",5.77322868440745,5.50894468572624,5.6825554644053,5.91880191626739,5.84663203657705,5.86308758645822,5.88186696391801,5.86066192399571,6.15258214535999,5.70456844792103,6.54429758219232,6.27035608263599,5.8990775059956,5.60035465296886,6.17792939510415,5.83198640512228
"M377T832_POS",6.38613933022903,6.46132023998581,6.42142038593711,6.45483323465803,6.39156268780288,6.40481268933869,6.37366352252627,6.41726161798418,6.42408434225055,6.38881400217875,6.3771676657567,6.33568440459365,6.38164660948916,6.35276853668027,6.35790528368656,6.40175678545072
"M377T912_POS",5.67085832882483,5.47453058619701,5.71326765236512,5.66987417537754,5.64143488067773,5.5792169172909,5.66294392446141,5.57541640164753,5.68062334196002,5.59842326785172,5.59593373288331,5.69314127133262,5.65583243460166,5.74945607145398,5.81585500722647,5.73898363172337
"M377T820_POS",6.13403137647294,6.04452369702068,6.03021281966436,5.580222772833,6.19629305707925,6.22722538186135,6.1182932994728,6.3868369863504,5.89470637395197,6.12081671491459,6.14806992834078,6.31060294394341,6.12220216753497,6.13683624274188,6.17227026697745,6.21780981902466
"M377T812_POS",6.60921033694519,6.72492614164038,6.62577868835799,6.61774822223309,6.61529125198028,6.65633230988571,6.62117468014297,6.57954723667123,6.62306469228826,6.62451073285972,6.69946453330038,6.6088176549306,6.63414155676201,6.6126381428511,6.61642491752201,6.60838048121078
"M378T458_1_POS",6.50305660017801,6.50576038111511,6.62922511736742,6.59588121957168,6.49051022202008,6.60772747125731,6.61478234069855,6.60747974886917,6.50974110150689,6.62782056824399,6.573174781154,6.70505864491277,6.65835089968491,6.62420016682664,6.62259018386,6.64579065070534
"M378T96_POS",6.59388935053569,6.58496704747984,6.51407067678665,6.6897249181717,6.66812553696751,6.87119342525794,6.54739969402195,6.89804140638745,6.79632928554676,6.18236369547022,6.63610234885526,6.63932186427265,6.78646233158259,6.48057805460897,6.69510593795101,6.66172932115993
"M378T751_POS",5.89814484755327,5.89147868347297,5.66361719466033,5.96624145545598,5.81747643664436,5.73992975077797,5.99610277075822,5.86976676816182,5.81415529871833,5.72329244737461,5.88393615596539,5.85962580942496,5.8530117650461,5.71954497155604,5.52589371758068,5.78906568721202
"M378T706_POS",6.17763750672813,5.83720027303461,6.13697773421306,6.27171458609623,5.73168843121827,5.90156527124914,6.20575535946482,6.47387962719335,6.03583637553965,5.38428933572265,5.36474149825404,6.06870484301961,6.39114405801846,5.51474447252517,6.31037286852183,6.19671280154154
"M378T736_POS",7.29948314899692,7.35492996063971,5.38285606129076,7.43332931019659,7.48212355568233,5.85605302907126,7.66465692708238,6.30426317386032,7.82586455528955,7.79416997323784,7.81723618110549,5.99004160017584,5.71400365418776,7.57917866476412,7.48175833571582,7.39050497458122
"M378T765_POS",5.64418047915311,5.61796022115095,5.66481714948563,5.66493673409142,5.50707926187205,5.71639537599381,5.2394730258967,5.34474815591932,5.39754404585573,5.32945769378014,5.49187103758975,5.57866825107907,5.38360263863727,5.44667273783495,5.35444256277873,5.55373317424848
"M378T591_POS",6.11329007363681,5.96749060959127,5.94291712327566,6.47593009957405,6.15186112696351,5.79297679549061,5.80962472555551,5.73780392493159,6.76300458321803,6.06358835971063,6.15011935768491,6.18932836035616,5.95176872516479,5.86362673643908,6.98977783791306,6.51422430485753
"M378T458_2_POS",6.30272298861509,6.37669203429212,6.38064682293356,6.40199995417554,6.37840310916725,6.37981192990638,6.51515682815599,6.33903324827592,6.31648924015858,6.40860517748078,6.39363166297679,6.55474272148677,6.48400154455819,6.41252087390854,6.38709279983838,6.4744424102334
"M378T820_POS",6.78696317560136,6.80272361208982,6.73417883793429,6.74119997755517,6.72409247605263,7.04664611381128,6.74292236987022,6.92418107724859,6.80691105894677,6.85001890339236,6.71948580781561,6.78186769720564,6.8334990404161,6.63119865295606,6.75732904769581,6.86465730511509
"M378T694_POS",6.99090397518935,6.96848424964383,7.01258347001801,7.01500404107942,6.96523833717197,6.95138642319987,6.94303372645258,6.8685578040167,6.74814403932471,6.97365659882782,6.94760704060265,6.88234107453847,6.88281423940668,6.88860928159742,6.97136801481021,7.09680540708966
"M378T812_POS",5.74342042160165,5.98594916138447,5.81700041962313,5.63831521378226,5.95695352091238,5.75946567613747,5.801725811671,5.94105297475341,5.90407350016645,5.67502987193838,5.90795868296653,5.83926758289542,5.82242784943296,5.82996223903959,5.70029496493172,5.77968420195964
"M378T850_POS",6.13491985455358,6.21701436152969,6.30986642918538,6.17938079510725,6.19301662257077,6.10072177172772,5.95133753644589,6.05438374390947,6.29279028726401,6.32983929603108,6.26710591700758,6.24888643693075,6.11032125374297,6.01869041453165,6.02591544309636,6.10785832283607
"M378T828_POS",5.93126032030742,6.23183302099384,5.88215058708253,6.34455675560671,6.02302925500249,6.00248554508487,6.02629132010491,5.95668260257338,6.45032454919652,6.12229842456788,5.87416466561341,6.40721671391366,5.97235396679807,6.34281444708879,6.37733909347397,6.25849939420053
"M379T457_POS",5.8480909670871,5.72346514816236,5.80683387387784,5.92625969071456,5.89899057870487,6.08225759530937,6.01808897107475,5.8795827768406,5.96532511235321,6.07018009642958,6.01053070490697,6.16234633175091,6.05471409522995,5.96431534096758,5.91887850207148,6.07359435989815
"M379T448_POS",6.27137663074898,6.07037450342993,5.72558689969674,6.09891234968269,6.17879741229107,6.11140943690639,5.8481481608923,5.77839869659702,5.79911468655005,6.28955646353325,6.29666837008994,5.73857798421957,6.55430486223138,5.44730998399925,5.86269619587645,6.13650162723532
"M379T115_POS",5.71419798540686,5.79204623878227,5.90209630182629,5.82632710995532,5.54559918733234,5.67520184519348,6.10682958285653,5.72485039422057,5.9583987230757,5.61079600276547,5.7844815060932,6.21367814093355,5.96328360023908,5.80627469370615,6.06329597104681,6.00199172673065
"M379T813_POS",7.10923846705332,7.15133419092125,7.11745103999117,7.13154386971052,7.11560713167573,7.09363235989873,7.16556001694713,7.08783257410672,4.90242799616945,7.13430744361062,7.18389629333595,5.02889022748194,7.14707577344413,7.14292742105746,7.20431231767944,5.04220580896035
"M379T820_POS",7.2291268781768,7.24380502155494,7.21325491865851,7.25461960387916,7.23990785361115,7.26356948617801,7.23095439215658,7.23576680642821,7.29422919744758,7.28339131634762,7.23468023170246,7.29471035051796,7.23227250837661,7.280023539407,7.27981221289284,7.291711180486
"M379T384_POS",6.2295126309933,6.14404310965379,6.18327688547281,6.59056343014736,6.13982396425078,6.2302186043916,6.44801083522122,6.3436058133228,6.35032109049947,6.27496141543682,6.0568605115935,6.29788543399314,6.3651256235695,6.38024903843763,6.31573489535549,6.58888477854482
"M379T867_POS",5.72711754513903,5.63917035922718,5.69673368371187,5.65056690240447,5.63349946271189,5.79750767048789,5.58903504474324,5.64017113673619,5.71638624646616,5.64487177374358,5.64209480311138,5.4727424148038,5.53834292372275,5.80581414633629,5.8694689225076,5.79141288109965
"M379T607_POS",6.36168990651943,6.46696114772182,6.50996153249234,6.42639746927385,6.28799404672395,6.37013075403969,6.32805340878366,6.36172902579605,6.2693187446767,6.41790859392287,6.38882755053539,6.30493441355606,6.38310383945789,6.31428076553966,6.31504559233728,6.40751361930305
"M379T479_POS",6.50941487703204,6.57299051037045,6.66416983977606,6.61962294329581,6.55925211804824,6.53531308315121,6.5392510656003,6.54883014166236,6.36753143323727,6.63942662879237,6.5644815652798,6.57776170037239,6.47053135224907,6.64541562210984,6.48896820672373,6.68376287730056
"M379T844_POS",6.5055785654818,6.53162657018802,6.35647382349098,6.27392128752518,6.40224628319792,6.40435874740181,6.63613243779843,6.27586937278075,5.72266187166089,6.28277907031689,6.4062517822347,6.28242490858631,6.18368950232569,6.39054590127396,5.71636099392463,6.34234239287009
"M379T899_POS",5.9839718516182,7.52941367498455,7.49820568959272,7.51645591353249,7.49899763439017,7.4756022277417,7.54386437198126,7.46409507804442,7.56175579401415,7.50294210051486,7.55102134581621,7.54988688697613,7.51179948147921,7.50674760359463,7.56683463088062,7.54852452019429
"M380T384_POS",5.73262272331142,5.75353410957702,5.79430791379331,6.04607831089791,5.67211835664933,5.67335852942201,5.95709886802268,5.90402137970002,5.70857214783805,5.91525550741555,5.93597318349392,5.88515754643473,5.84513323746301,6.02056298438955,5.88423167326719,6.23792473601285
"M380T820_POS",6.45818980526763,6.51226128786384,6.4440396610327,6.54063348216659,6.47979948351588,6.56631590872223,6.48237994579099,6.50738925090367,6.58412818694542,6.50757907352802,6.52078744354846,6.5272361763058,6.46967516640307,6.50930989131063,6.50110917477058,6.49259260140544
"M380T479_POS",5.82265721098637,5.92372228030165,5.97488794421777,5.83080972772857,5.612507685119,5.75774290561437,5.73196908271006,5.88165500765317,5.70372379592703,5.86462617656305,5.62175883118011,5.70869089214734,5.7191557538641,5.83776356265596,5.39918635982458,5.86971895517433
"M380T795_POS",7.08827419812159,7.20166541868579,7.16647815366556,7.13700718475827,7.08381201989729,7.16681256925272,7.13274839530168,7.03689345479707,7.03048608112068,7.02609260541768,7.16338562251205,6.97060853912858,7.08794408125874,6.98480113363758,7.04472934819213,7.15060501859597
"M381T63_POS",8.64049853750742,8.74191660673937,8.90585684347699,8.64211035735121,8.68139769661401,8.6495543003258,9.02331270739623,8.88155905737082,9.02771515578824,8.67999105019671,8.83778892169548,8.67198413472387,9.05650490395261,8.53900136142471,8.73232571479555,8.64812256241824
"M381T790_POS",7.13702842997513,7.22539358909035,7.24626693007511,7.32365667190216,7.15510689659674,7.47961179024365,7.24038504245303,7.38846369426926,7.26031381398687,7.24847834742903,7.06255900480824,7.12045172661437,7.27182853603499,7.19852913826315,7.18306323408961,7.37201732494711
"M381T766_POS",6.47222737327056,6.58421028167942,6.67364168223034,6.66168206693037,6.39788582677393,6.68946368055339,7.03739239068629,6.79897548705244,6.69197550033625,6.60574466529371,6.6363673576936,6.90398320793081,6.70047073334249,6.96990652663633,6.65163690599403,6.2786166152901
"M382T383_POS",5.58339166307863,5.6638588632083,5.30006109809207,5.81932772672471,5.2840140515188,5.78488038090403,5.86416397452023,5.58847489420123,5.98975279092563,5.72976427685986,5.63482498926324,5.59834803221028,5.56779529968201,5.39024040037728,5.93259444679608,5.58306839267963
"M382T63_POS",7.75621854956195,7.86881297103158,8.03131917940807,7.75865211872543,7.76842968352738,7.78344867092076,8.14216382203608,7.99422238356884,8.11756957169136,7.76183194950263,7.93720064747492,7.75611165985285,8.16199522185298,7.655313245466,7.82580931648074,7.74551092692987
"M382T460_POS",5.8313814144984,5.99074141837611,5.99340517776857,5.91855490535424,5.61566452101987,5.98563168073576,5.81067943447085,5.97124580426661,6.06467087573834,5.98376400404583,5.86137754601124,5.68287391433582,5.9500683654653,6.0524661317835,5.96485094235092,5.93306469915107
"M382T85_POS",6.54934668015402,6.8445770789195,6.75886785509207,6.60763369611436,6.51806708882626,6.59855352560792,6.84806907493248,6.73384325217719,7.04138034085955,6.40994406796637,6.47815072251193,6.63788849661983,6.6653874469943,6.31698122143377,7.0824880823581,6.72221297020431
"M382T790_POS",6.56558632227394,6.6319181883521,6.66727177578977,6.71048365883738,6.57187496198055,6.83563957164985,6.60789614622852,6.730305306399,6.56813857834318,6.55226129730745,6.44750940905478,6.51166055243552,6.67710721543934,6.583392162697,6.59294952317664,6.73256290740084
"M382T808_POS",6.65731232253441,6.68049528450834,6.62302626619977,6.68126135732291,6.61830018639983,6.82532824144087,6.63819205548522,6.70310180591611,6.68065332075139,6.69087352343269,6.65967607780564,6.64292504166847,6.72771813720655,6.55907991004307,6.59892910977765,6.69600787736376
"M382T741_POS",6.40029318730907,5.67319991321734,6.43506173617564,6.50999728206895,5.42102258164863,6.12539025078676,6.46424195100006,6.30385019946429,6.82030662491727,6.40640510686291,5.47587071116897,6.4624927518525,6.33046296577409,6.32648840044066,7.05698251032148,6.55225599828424
"M382T819_POS",6.44831000717462,6.42473791646714,6.44948109439839,6.37202693010214,6.42508243260643,6.51831746530735,6.36665723240814,6.41665551307749,6.38756874075902,6.35630798540143,6.2558483745255,6.41642325570034,6.3836791203653,6.34919805277125,6.43955842395946,6.34980319140144
"M382T919_POS",6.11088727371445,6.0050259539736,6.16330740833408,6.07118421911982,6.12257673690639,6.1226231380805,6.08155108144108,5.95952501829726,5.97868509082347,6.16738119135547,5.93251145786648,5.97236246183208,5.98365797614982,6.07201826878237,5.95441193893553,5.88840934719584
"M383T460_POS",5.73266126274621,6.40489864861558,6.35815290058669,6.15230687940599,5.68915254233705,6.26809267198201,6.24223702895606,6.20524006778871,6.31144493729702,6.28181736217235,6.0515504731371,5.81516679001219,6.17242967746821,6.32879844936155,6.29251871808352,6.11291097272369
"M383T98_POS",5.83834026556906,6.48102069177438,6.40782471306994,6.44523487263533,6.2652639492276,6.179541745882,6.59090025191037,6.76243125450474,6.39463950897931,6.21785545060086,6.45928754151595,6.33796836762873,6.62736481070676,6.11016008337631,6.88847800735166,6.49462961231671
"M383T752_POS",6.46092650013954,6.47794392436407,6.3753843896466,6.3940792454801,6.37103523822131,6.33082713533734,6.45711294364719,6.37919591605733,6.34097346763692,6.37998449152892,6.34362718651305,6.34213817298906,6.39744725231858,6.30043317512328,6.29976305961573,6.31146433968171
"M383T820_POS",6.52473517027729,6.54457566388152,6.55835086763122,6.59100738020997,6.55139103299085,6.61024755062006,6.59460486746439,6.63881026439354,6.61297061922079,6.60005576224582,6.56047425800286,6.61757443075881,6.60273759994049,6.61563918828928,6.57406097049728,6.63845454256427
