name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,score,isotope,adduct,Formula,matched.frag,compound.name,peak.group,confidence
M351T837_POS,351.30843,837.25027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M351T811_POS,351.32962,810.79312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M352T409_1_POS,351.7525,409.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M352T380_POS,352.11526,379.88182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M352T772_POS,352.24549,771.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M352T819_POS,352.25616,818.98343,isotopeAnnotation;isotopeAnnotation,C05476;KeggExd085099,M351T819_POS;M351T819_POS,C05476;KeggExd085099,0.934077950088631;0.934077950088631,[M+1];[M+1],M+H;M+H,C21H34O4;C21H34O4,NA;NA,Tetrahydrocorticosterone;NA,C05476_1;KeggExd085099_1,grade2;grade2
M352T834_POS,352.28443,834.39783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M352T744_POS,352.30516,743.60651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M352T885_POS,352.32056,885.03641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M352T808_POS,352.32075,807.75375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M352T920_POS,352.35688,919.7218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M353T447_POS,353.08612,447.21233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M353T795_POS,353.1203,795.31555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M353T819_POS,353.26827,818.95441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M353T912_POS,353.26806,911.55011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M353T717_POS,353.26829,716.8476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M353T771_POS,353.26819,771.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M353T885_POS,353.32418,885.06277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M353T808_POS,353.32409,807.74756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M354T795_POS,354.1237,795.31555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M354T76_POS,354.13873,75.74945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M354T698_POS,354.23049,698.23206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M354T912_POS,354.2715,911.55746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M354T819_POS,354.27162,818.94337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M354T715_POS,354.2841,714.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M354T849_POS,354.33641,849.48152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M354T760_POS,354.33641,760.26541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M354T740_POS,354.33639,739.92471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M355T933_POS,354.93158,932.81265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M355T795_1_POS,355.11587,795.33749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M355T783_POS,355.21101,783.13324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M355T762_POS,355.22675,761.75751,metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation,C03681;C01953;C03681;C03681;C03681;C01953;C01953;C01953;KeggExd046636,M334T835_POS;M334T835_POS;M334T835_POS;M334T835_POS;M334T835_POS;M334T835_POS;M334T835_POS;M334T835_POS;M846T706_POS,C18040;C05485;KeggExd009618;KeggExd027214;KeggExd027217;C18038;C05138;KeggExd018239;KeggExd046633,1.40694857778342;1.38998592923875;1.36443210846911;1.36442691039821;1.36442691039821;1.26738645191209;1.26539151446458;1.2622341509962;0.509059500977717,[M];[M];[M];[M];[M];[M];[M];[M];[M],M+Na;M+Na;M+Na;M+Na;M+Na;M+Na;M+Na;M+Na;M+Na,C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3;C21H32O3,19;19;19;19;19;19;19;19;6,5alpha-Dihydrodeoxycorticosterone;21-Hydroxypregnenolone;NA;NA;NA;7alpha-Hydroxypregnenolone;17alpha-Hydroxypregnenolone;NA;NA,C18040_1;C05485_1;KeggExd009618_1;KeggExd027214_1;KeggExd027217_1;C18038_1;C05138_1;KeggExd018239_1;KeggExd046633_1,grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2;grade2
M355T912_POS,355.27371,911.52893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M355T795_2_POS,355.28384,795.35214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M355T849_POS,355.33973,849.49005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M355T760_POS,355.33959,760.01511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M355T679_POS,355.36766,679.09601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M356T349_POS,356.09681,348.88318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
