peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,Size1,Size2,Size3,Size4,Size5,Size6,QC_N,QC1_1,QC1_2,QC2_1,QC2_2,QC3_1,QC3_2,QC4_1,QC4_2,Size_1_1,Size_1_2,Size_1_3,Size_2_1,Size_2_2,Size_2_3,Size_3_1,Size_3_2,Size_3_3,Size_4_1,Size_4_2,Size_5_1,Size_5_2,Size_6_1,Size_6_2
M337T152_NEG,337.08774701657984,337.08711520313966,337.08810157688004,152.1787872314453,150.6104736328125,166.50901794433594,9,3,0,1,0,1,2,2,NA,NA,NA,3451845.8943080297,NA,4240769.957500004,NA,5654238.474475005,NA,NA,NA,NA,NA,NA,21435740.995833255,NA,NA,NA,6670162.789100013,NA,14947880.447499998,16699510.492999988,12132259.691062517,27156592.176458385
M337T70_NEG,337.08934719913634,337.08934719913634,337.08934719913634,70.10167694091797,70.10167694091797,70.10167694091797,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747558.3734002599
M337T336_NEG,337.1141520122848,337.11358148311314,337.1146401252888,336.2936706542969,330.0204162597656,337.98687744140625,19,7,3,2,2,1,2,2,632875.8987890594,2164185.000340279,NA,NA,440219.0333437508,545759.5937500005,650798.2399965854,1043404.2371536447,455916.68239909,785097.7538883886,620200.6797700222,384714.5160156269,1196722.1836428568,662153.1298359361,NA,762742.383202147,NA,762742.383202147,965709.3317812526,NA,1371641.9169072234,1689523.19239934,1271507.8973999976,2245031.090555554
M337T284_NEG,337.114294400961,337.11425590797865,337.11460108618974,284.08575439453125,282.03900146484375,286.154296875,3,0,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,539545.886784181,NA,NA,NA,NA,397349.06738020724,NA,NA,343319.2881046869,NA,NA
M337T298_NEG,337.114375201043,337.11405749400234,337.11469290808367,298.1714630126953,297.19610595703125,299.1468200683594,2,1,0,0,0,0,0,1,NA,608553.291135416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428952.9590223223
M337T126_NEG,337.1144506150614,337.1144506150614,337.1144506150614,125.53485870361328,125.53485870361328,125.53485870361328,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729824.3669659093
M337T230_NEG,337.11495969353984,337.11495969353984,337.11495969353984,229.6847381591797,229.6847381591797,229.6847381591797,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637145.2098038204
M337T142_NEG,337.13379476192284,337.13379476192284,337.13379476192284,141.79396057128906,141.79396057128906,141.79396057128906,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,805266.4062578132,NA
M337T64_NEG,337.14363595093835,337.14329790745495,337.1440031071114,63.60331344604492,44.97649910888671,63.82634735107422,24,9,3,3,3,2,2,2,37688221.313311666,32116248.776224997,35491020.337494805,22235327.289886717,40113095.21960009,23956292.66204547,38442505.822520636,33472567.944514282,36703967.903468125,40939839.391007796,38075359.10110831,45658682.66794461,41159985.38379064,33133685.109240614,34597318.08457978,36886613.62002442,35158321.886415385,36886613.62002442,30017520.801810354,38341321.0518771,65083680.53062375,73973498.94432138,33191431.486866508,25372266.42168752
M337T313_NEG,337.15080959503194,337.15035814264377,337.15121976242807,313.2406005859375,309.40399169921875,316.3155822753906,7,2,0,1,0,0,2,2,613435.7734236101,NA,NA,NA,384509.7212220983,NA,NA,NA,NA,NA,NA,NA,1386881.631485794,NA,NA,NA,NA,NA,NA,NA,796449.1399853524,2675710.3565390655,1423594.4557849262,7083035.620194084
M337T89_NEG,337.20559146143904,337.2055423364894,337.2056405863887,88.52019500732422,86.57649230957031,90.463897705078125,2,1,0,0,0,1,0,0,NA,NA,NA,NA,461346.0426460507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345505.5429695309,NA,NA,NA,NA
M337T62_NEG,337.3115633368654,337.3114264690725,337.3117002046583,62.368045806884766,60.14189910888672,64.59419250488281,2,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2273998.522926559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2521556.481422397,NA,NA,NA
M338T920_NEG,337.95788478718,337.95788478718,337.95788478718,919.75421142578125,919.75421142578125,919.75421142578125,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205261.86399902366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M338T423_NEG,338.06015110852803,338.0597161273655,338.06098296327843,423.34410095214844,407.6017150878906,425.97998046875,14,6,1,2,2,0,2,1,627872.0872633932,5675271.86142045,316240.96088906366,2849668.620175785,NA,2459284.0332500082,NA,2040520.3271334174,NA,NA,2372496.660426897,NA,1470578.2539080528,1343347.690517583,NA,5008620.53157813,NA,5008620.53157813,NA,NA,12025728.045735294,7754150.411570306,NA,1621593.7349869744
M338T157_NEG,338.07323032567945,338.07284397429555,338.07392723427216,156.99945068359375,145.40988159179688,175.10154724121094,25,9,3,3,3,2,2,2,10023262.103397837,722480.9996250002,9957874.294534098,2295975.8617258514,9937423.241374997,7140562.658814173,10299053.610270841,8178393.604957927,8619001.643859379,4645845.91992898,7704195.745718741,7396992.875674491,17445610.582085326,20964562.38595771,10773580.449703114,7695087.07140001,9237039.831185818,7695087.07140001,5282392.619334374,7998297.000832035,13139165.672058599,17194153.885617204,8837463.048156245,17645185.45942094
M338T360_NEG,338.08146805754484,338.0807938568642,338.0818194656762,360.02708435058594,358.0591735839844,371.3835144042969,24,9,3,3,3,2,2,2,5672419.03938994,9486670.360271867,4649379.180687499,8177483.651925532,5603529.410411754,5964268.065078137,5296656.436212302,6851199.692976024,5289015.058142579,2782942.6651840266,3117534.007910155,4384643.119450834,7559620.836988466,9547230.861791346,7657756.989349385,3799688.3048078124,7280398.217674471,3799688.3048078124,6115056.89817871,3364118.0987243284,10166305.183754677,8714909.606981542,8888600.735301806,7989939.3668381795
M338T152_NEG,338.09074577290335,338.0905669117856,338.0912026615447,151.96112060546875,151.05453491210938,153.78701782226562,10,3,0,2,0,1,2,2,1266246.6874312535,NA,NA,NA,1451336.0567999987,NA,NA,905579.4101500007,NA,NA,NA,NA,2450328.8746250034,NA,3272175.734187488,NA,NA,NA,NA,661216.0461374987,2385750.323000001,3308870.8369791736,2322873.335303568,3826876.756145841
M338T325_NEG,338.109791788266,338.1086732258974,338.1101711981326,324.6920471191406,322.2859802246094,328.65460205078125,23,8,3,3,3,2,2,2,7016990.69212856,NA,6690261.731999983,490901.4455281276,5911400.4103394905,9891937.465566425,6368942.243375995,8662809.237579528,7348533.429095891,3452872.079128907,2842668.3720138967,1830972.808218756,7439422.551994335,2318442.8533038157,931963.1394698672,3743226.6927473927,6870491.043086612,3743226.6927473927,2135222.603593754,2298883.5126562486,4517515.090551133,4715977.041093756,6100994.40678692,27651301.904712517
M338T63_NEG,338.1461637400418,338.14544700536186,338.14683560157323,62.695655822753906,53.12669910888671,62.945804595947266,21,7,3,2,3,2,2,2,3609267.0588343767,3073160.286343122,3191014.680525003,NA,3800070.1020049974,2858974.0638999995,NA,3383007.583811979,2978321.292238748,3266276.1319500017,3797508.8289599954,4354098.7039,3732995.236258121,NA,3499112.9111675015,3540012.795978752,4282959.584052183,3540012.795978752,2860349.245499216,3064064.8529568766,6923828.836557506,5234153.694481247,3283741.487298746,2590902.560791877
M338T66_NEG,338.16157904362103,338.16122950780056,338.16193734022403,66.21725082397461,44.97649910888671,67.3661117553711,24,9,3,3,3,2,2,2,6094828.356796526,5517394.63771146,5022224.173930204,5961285.980482638,5667031.836982426,4518669.246240005,6298361.170358859,4406269.309458335,6260124.461176038,8132013.090069107,4856924.4486343805,7683304.177009376,9626942.110990915,7865735.549322661,3151344.6940178587,5659637.26885195,7136102.825765626,5659637.26885195,7146624.128393749,7132075.299485936,12445838.115726037,17391724.00812775,7203582.013497751,7675361.535246872
M338T105_NEG,338.2704939633973,338.26992491715487,338.270846629569,104.90860748291016,102.998046875,106.04122161865234,16,5,1,2,2,2,2,2,903337.3127919928,NA,567551.3282421884,NA,NA,NA,517004.6125000007,674754.485056249,497971.3113281251,NA,555446.9530499988,NA,733128.0839062491,835635.8665178561,NA,582396.273807031,NA,582396.273807031,758519.3931328121,465133.4692031259,2046472.2406250008,2177008.8882812504,1783241.3642027357,1248258.2275625004
M338T74_NEG,338.27049434763177,338.27028731552195,338.2707013797416,73.8969955444336,72.61317443847656,75.180816650390625,2,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454104.45640218735,NA,663642.3188046867,NA
M339T61_1_NEG,338.5816585192932,338.58127859731036,338.582471775964,61.026641845703125,60.14189910888672,62.851593017578125,8,5,1,1,0,0,0,1,2920365.8189862487,2603812.453204685,NA,NA,3720887.776396875,NA,5504069.182178122,NA,4275295.618463434,NA,4073163.2131184917,NA,1180170.0994999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,5436575.667731246,NA
M339T380_NEG,338.99922232159685,338.99922232159685,338.99952281481734,380.2518310546875,376.291259765625,380.2518310546875,3,0,0,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749542.8306015641,NA,973078.4798802049,NA,973078.4798802049,NA,NA,NA,NA,NA,NA
M339T61_2_NEG,339.02632152394784,339.02632152394784,339.02632152394784,61.02980041503906,61.02980041503906,61.02980041503906,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1647756.6197399981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M339T123_NEG,339.04878117526465,339.04878117526465,339.04878117526465,122.61753845214844,122.61753845214844,122.61753845214844,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795995.649828126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M339T157_NEG,339.0667053729075,339.066006241764,339.0670591198506,156.88807678222656,146.66786193847656,174.0594940185547,25,9,3,3,3,2,2,2,24099276.099619247,1913274.4535923305,25637580.01531053,5946492.580437503,24805468.12351876,17202790.49957311,25841568.006477542,19760937.186414998,21926680.150492642,10727759.196029166,19714352.441062488,16107572.126816196,42332137.534301214,49383505.23368897,26659612.69788968,17193715.532691173,20618729.934427403,17193715.532691173,12048814.014205711,18773187.339233056,32491110.67814941,46291689.47990056,22880412.10546253,46662644.4076325
M339T360_NEG,339.08228444235044,339.08202931371653,339.0827997133568,360.0700988769531,358.1884765625,371.3835144042969,19,8,1,3,3,1,1,2,998289.455929689,1468965.99550782,836269.6495052073,1350568.951638675,790047.2434446026,NA,730275.130429685,889782.0311621061,1068523.8835253927,NA,NA,371075.8620874999,1207237.126875002,1715286.5023604971,1271788.2507400597,375593.812475,1039986.5217326431,375593.812475,1117568.7494042937,NA,1572124.2139437492,NA,1363137.6299296853,1203889.3644749974
