"variable_id","name","InChIKey","ClassyFy.Status","Kingdom","Superclass","Class","Subclass","Parent.Level.1","Parent.Level.2","Parent.Level.3","Parent.Level.4","Parent.Level.5"
"M148T66_POS","DL-Glutamate","WHUUTDBJXJRKMK-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Glutamic acid and derivatives","",NA
"M149T369_NEG","D-Ribose","YMDXZJFXQJVXBF-UHFFFAOYSA-L","Completed","Organic compounds","Organic acids and derivatives","Organic phosphonic acids and derivatives","Organic phosphonic acids","Organic phosphonic acids","","","",NA
"M149T754_2_POS","Phthalic anhydride",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M150T489_POS","N-(2,4-dimethylphenyl)formamide","JOFDPSBOUCXJCC-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Anilides","Anilides","","","",NA
"M150T76_POS","Racemethionine","FFEARJCKVFRZRR-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Methionine and derivatives",NA,NA
"M151T76_POS","Dipropyl disulfide","RSWGJHLUYNHPMX-ONCXSQPRSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Diterpenoids","","","",NA
"M153T331_POS","Vanillin","MWOOGOJBHIARFG-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols","","","",""
"M153T772_POS","3-Isopropylcatechol","FABPRXSRWADJSP-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolines and derivatives","Quinoline carboxylic acids","Quinoline carboxylic acids","","",NA,NA
"M153T938_POS","3-(Hydrohydroxyphosphoryl)pyruvate","NONJJLVGHLVQQM-ADGXKJENSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides","","",""
"M154T958_POS","Dopamine","VYFYYTLLBUKUHU-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenols","Benzenediols","Catechols","Catecholamines and derivatives","","",NA
"M155T938_POS","Bruguiesulfurol","NGIJTYOKLKCHNE-YEQUQEJONA-N","Completed","Organic compounds","Organoheterocyclic compounds","Dithiolanes","1,2-dithiolanes","1,2-dithiolanes","","","",""
"M156T63_POS","Histidine","HNDVDQJCIGZPNO-YFKPBYRVSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Histidine and derivatives","",NA
"M156T63_POS","Histidine","HNDVDQJCIGZPNO-YFKPBYRVSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Histidine and derivatives","",NA
"M157T186_2_NEG","Allantoin","POJWUDADGALRAB-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazoles","","","",""
"M157T186_2_NEG","Allantoin","POJWUDADGALRAB-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazoles","","","",NA
"M157T700_POS","(-)-Menthol","NOOLISFMXDJSKH-WYVCTLLJNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Menthane monoterpenoids","","","",""
"M157T819_POS","Nonane-4,6-dione","JTVPZMFULRWINT-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonyl compounds","Benzenesulfonyl compounds","","","",NA
"M157T94_NEG","Pelargonic acid","FBUKVWPVBMHYJY-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids","","",NA,NA
"M158T65_POS","Paramethadione","IRDWOWJPGRCPQK-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Ethers","Dialkyl ethers","","","",NA
"M159T148_POS","Nicotyrine","RYFOJXFXERAMLS-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","","Pyridines and derivatives","","","",NA
"M160T946_POS","sym-Homospermidine","YEKMWXFHPZBZLR-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzoxazines","","Benzoxazines","","","",NA
"M161T126_2_POS","Methacholine","BSZWZZSFVRISOG-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Ketene acetals","Ketene acetals","","","",NA
"M162T64_POS","Carnitine; CE10; PHIQHXFUZVPYII-ZCFIWIBFSA-N","PHIQHXFUZVPYII-ZCFIWIBFSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines","","","",NA
"M162T64_POS","Carnitine; CE10; PHIQHXFUZVPYII-ZCFIWIBFSA-N","PHIQHXFUZVPYII-ZCFIWIBFSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines","","","",""
"M164T329_2_NEG","Phenylalanine","COLNVLDHVKWLRT-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives","",NA
"M164T329_2_NEG","Phenylalanine","COLNVLDHVKWLRT-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives",NA,NA
"M164T329_2_NEG","Phenylalanine","COLNVLDHVKWLRT-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives","",NA
"M164T453_POS","(R)-2-Methylimino-1-phenylpropan-1-ol","VMPITZXILSNTON-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenol ethers","Aminophenyl ethers","Aminophenyl ethers","","","",NA
"M165T447_POS","p-Coumaric acid","NGSWKAQJJWESNS-ZZXKWVIFSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids","","","",NA
"M165T447_POS","p-Coumaric acid","NGSWKAQJJWESNS-ZZXKWVIFSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids","","","",""
"M165T77_POS","p-Coumaric acid","NGSWKAQJJWESNS-ZZXKWVIFSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids","","","",NA
